Date,Ticker,Currency,Quantity,Price,Sector,Geography,Asset_Class,Status
2022-05-05,EA,USD,16.0,121.57,"Technology, Media, Telecom",US,Equity,
2022-05-05,ISRG,USD,8.0,238.04,Consumer and Healthcare,US,Equity,
2022-05-05,MA,USD,5.0,358.41,Financials,US,Equity,
2022-05-05,TEX,USD,56.0,34.66,Industrials,US,Equity,
2023-04-27,AAPL,USD,4.0,165.39,"Technology, Media, Telecom",US,Equity,
2023-04-27,AGG,USD,155.0,97.83,ETF Fixed Income,US,ETF Fixed Income,
2023-04-27,APO,USD,30.0,62.36,Financials,US,Equity,
2023-04-27,CEG,USD,25.0,76.42,Industrials,US,Equity,
2023-04-27,HBM.TO,CAD,225.0,6.68,Materials,CAN,Equity,
2023-04-27,L.TO,CAD,20.0,126.0,Consumer and Healthcare,CAN,Equity,
2023-04-27,SPY,USD,35.0,406.81,ETF Equity,US,ETF Equity,
2023-04-27,XBB.TO,CAD,741.0,28.15,ETF Fixed Income,CAN,ETF Fixed Income,
2023-04-27,XIU.TO,CAD,630.0,31.26,ETF Equity,CAN,ETF Equity,
2023-12-27,AGG,USD,-59.0,98.97,ETF Fixed Income,US,ETF Fixed Income,
2023-12-27,AMSF,USD,45.0,47.2,Financials,US,Equity,
2023-12-27,GSL,USD,101.0,20.29,Industrials,US,Equity,
2023-12-27,SPSB,USD,320.0,29.73,ETF Fixed Income,US,ETF Fixed Income,
2023-12-27,SPY,USD,-10.0,475.16,ETF Equity,US,ETF Equity,
2023-12-27,VEEV,USD,5.0,189.04,"Technology, Media, Telecom",US,Equity,
2023-12-28,CSH-UN.TO,CAD,107.0,11.6,Consumer and Healthcare,CAN,Equity,
2023-12-28,WFG.TO,CAD,23.0,112.4,Natural Resources,CAN,Equity,
2023-12-28,XIU.TO,CAD,-111.0,31.9,ETF Equity,CAN,ETF Equity,
2024-12-23,ACO-X.TO,CAD,122.0,47.22,Industrials,CAN,Equity,
2024-12-23,AER,USD,21.0,95.05,Financials,US,Equity,
2024-12-23,AMAT,USD,19.0,164.05,"Technology, Media, Telecom",US,Equity,
2024-12-23,BLBD,USD,61.0,39.58,Consumer and Healthcare,US,Equity,
2024-12-23,CG,USD,51.0,50.37,Financials,US,Equity,
2024-12-23,DOLE,USD,108.0,13.81,Consumer and Healthcare,US,Equity,
2024-12-23,MP,USD,245.0,15.87,Natural Resources,US,Equity,
2024-12-23,TMUS,USD,4.0,220.52,"Technology, Media, Telecom",US,Equity,
2024-12-23,WSC,USD,60.0,33.59,Industrials,US,Equity,
2024-12-23,XBB.TO,CAD,-557.0,28.36,ETF Fixed Income,CAN,ETF Fixed Income,
2024-12-23,XIU.TO,CAD,-519.0,37.43,ETF Equity,CAN,ETFEquity,
2025-03-25,AGG,USD,-96.0,98.46,ETF Fixed Income,US,ETF Fixed Income,
2025-03-25,SCHP,USD,256.0,26.6199,ETF Fixed Income,US,ETF Fixed Income,
2025-03-25,SPSB,USD,-320.0,30.0402,ETF Fixed Income,US,ETF Fixed Income,
2025-03-25,SPY,USD,-25.0,574.1601,ETF Equity,US,Equity,
2025-03-25,TLT,USD,225.0,89.8399,ETF Fixed Income,US,ETF Fixed Income,
2025-06-16,AAPL,USD,-4.0,196.2,"Technology, Media, Telecom",US,Equity,
2025-06-16,BLBD,USD,-61.0,41.022,Consumer and Healthcare,US,Equity,
2025-06-16,DOLE,USD,-108.0,14.12,Consumer and Healthcare,US,Equity,
2025-06-16,HBM.TO,CAD,-225.0,13.07,Natural Resources,CAN,Equity,
2025-06-17,FFH.TO,CAD,2.0,2415.0,Financials,CAN,Equity,
2025-06-17,GOOG,USD,29.0,177.18,"Technology, Media, Telecom",US,Equity,
2025-07-14,CG,USD,-51.0,58.06,Financials,US,Equity,
2025-07-14,EA,USD,-16.0,149.47,"Technology, Media, Telecom",US,Equity,
2025-07-14,MA,USD,-5.0,555.31,Financials,US,Equity,
2025-07-14,MP,USD,-245.0,47.05,Natural Resources,US,Equity,
2025-07-14,RY.TO,CAD,33.0,180.31,Financials,CAN,Equity,
2025-09-09,TLT,USD,-225.0,89.11,ETF Fixed Income,US,ETF Fixed Income,
2025-10-15,CGY.TO,CAD,60.0,52.89,Industrials,CAN,Equity,
2025-10-15,IAU,USD,70.0,77.7999,Absolute Return,US,Gold,
2025-10-15,LUNR,USD,160.0,12.48,Absolute Return,US,Equity,
