Date,AAPL,ACO-X.TO,AER,AGG,AMAT,AMSF,APO,BIL,BLBD,CEG,CG,CGY.TO,CSH-UN.TO,DOLE,EA,FFH.TO,GOOG,GSL,HBM.TO,IAU,ISRG,L.TO,LUNR,MA,MP,RY.TO,SCHP,SPSB,SPY,TEX,TLT,TMUS,VEEV,WFG.TO,WSC,XBB.TO,XIU.TO
2022-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.760009765625,0.0,0.0,0.0,0.0,0.0,1871.8399658203125,0.0,0.0,1766.8499755859375,0.0,0.0,0.0,0.0,0.0,1952.7199401855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.6400146484375,0.0,0.0,0.0,0.0,0.0,1798.800048828125,0.0,0.0,1735.5999755859375,0.0,0.0,0.0,0.0,0.0,1921.9199829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.6400146484375,0.0,0.0,0.0,0.0,0.0,1669.6800537109375,0.0,0.0,1639.949951171875,0.0,0.0,0.0,0.0,0.0,1877.1200256347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.5999755859375,0.0,0.0,0.0,0.0,0.0,1691.1199951171875,0.0,0.0,1626.6499328613281,0.0,0.0,0.0,0.0,0.0,1846.8799743652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1927.8399658203125,0.0,0.0,0.0,0.0,0.0,1686.9599609375,0.0,0.0,1629.3499755859375,0.0,0.0,0.0,0.0,0.0,1800.4000854492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.199951171875,0.0,0.0,0.0,0.0,0.0,1693.52001953125,0.0,0.0,1606.199951171875,0.0,0.0,0.0,0.0,0.0,1790.8799743652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0400390625,0.0,0.0,0.0,0.0,0.0,1789.52001953125,0.0,0.0,1663.9999389648438,0.0,0.0,0.0,0.0,0.0,1836.7999572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.239990234375,0.0,0.0,0.0,0.0,0.0,1756.239990234375,0.0,0.0,1648.6500549316406,0.0,0.0,0.0,0.0,0.0,1823.9199829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
