Date,CAD_Holdings_MV,USD_Holdings_MV,CAD_Cash,USD_Cash,Total_Cash_CAD,Total_Holdings_CAD,Total_Portfolio_Value
2022-05-02,0.0,0.0,101644.99,0.0,101644.99,0.0,101644.99
2022-05-03,0.0,0.0,101644.99,0.0,101644.99,0.0,101644.99
2022-05-04,0.0,0.0,101644.99,0.0,101644.99,0.0,101644.99
2022-05-05,0.0,7505.169891357422,91987.0715887332,0.0,91987.0715887332,10529.753336102,102516.82492483521
2022-05-06,0.0,7300.960021972656,91987.0715887332,0.0,91987.0715887332,10243.246889939423,102230.31847867262
2022-05-09,0.0,6979.390045166016,91987.0715887332,0.0,91987.0715887332,9792.084213399725,101779.15580213293
2022-05-10,0.0,6950.2498779296875,91987.0715887332,0.0,91987.0715887332,9751.200558850527,101738.27214758373
2022-05-11,0.0,7044.549987792969,91987.0715887332,0.0,91987.0715887332,9883.503612718916,101870.57520145213
2022-05-12,0.0,7025.799896240234,91987.0715887332,0.0,91987.0715887332,9857.197234324074,101844.26882305728
2022-05-13,0.0,7289.359954833984,91987.0715887332,0.0,91987.0715887332,10226.971995777054,102214.04358451026
2022-05-16,0.0,7267.050018310547,91987.0715887332,0.0,91987.0715887332,10195.6711548985,102182.74274363171
2022-05-17,0.0,7474.299896240234,91987.0715887332,0.0,91987.0715887332,10486.442733040905,102473.51432177411
2022-05-18,0.0,7309.900054931641,91987.0715887332,0.0,91987.0715887332,10255.7897561553,102242.8613448885
2022-05-19,0.0,7300.380035400391,91987.0715887332,0.0,91987.0715887332,10242.433168780193,102229.5047575134
2022-05-20,0.0,7300.259963989258,91987.0715887332,0.0,91987.0715887332,10242.264708590717,102229.33629732393
2022-05-23,0.0,7502.790130615234,91987.0715887332,0.0,91987.0715887332,10526.414531787519,102513.48612052073
2022-05-24,0.0,7458.569915771484,91987.0715887332,0.0,91987.0715887332,10464.373570488253,102451.44515922146
2022-05-25,0.0,7604.920135498047,91987.0715887332,0.0,91987.0715887332,10669.702928345909,102656.77451707912
2022-05-26,0.0,7713.609954833984,91987.0715887332,0.0,91987.0715887332,10822.194744563265,102809.26633329647
2022-05-27,0.0,7832.820037841797,91987.0715887332,0.0,91987.0715887332,10989.446490682163,102976.51807941537
2022-05-30,0.0,7832.820037841797,91987.0715887332,0.0,91987.0715887332,10989.446490682163,102976.51807941537
2022-05-31,0.0,7810.7098388671875,91987.0715887332,0.0,91987.0715887332,10958.425881584044,102945.49747031725
2022-06-01,0.0,7716.739929199219,91987.0715887332,0.0,91987.0715887332,10826.586098588734,102813.65768732195
2022-06-02,0.0,7955.639892578125,91987.0715887332,0.0,91987.0715887332,11161.762746525841,103148.83433525905
2022-06-03,0.0,7826.379974365234,91987.0715887332,7.28,91997.28542871238,10980.411081642971,102977.69651035535
2022-06-06,0.0,7844.140197753906,91987.0715887332,7.28,91997.28542871238,11005.328675006465,103002.61410371884
2022-06-07,0.0,7956.259948730469,91987.0715887332,10.32,92001.55054870367,11162.632685305805,103164.18323400948
2022-06-08,0.0,7866.68994140625,91987.0715887332,10.32,92001.55054870367,11036.965965286188,103038.51651398986
2022-06-09,0.0,7585.5599365234375,91987.0715887332,10.32,92001.55054870367,10642.540569239922,102644.0911179436
2022-06-10,0.0,7353.830047607422,91987.0715887332,10.32,92001.55054870367,10317.423535753736,102318.97408445741
2022-06-13,0.0,6975.899826049805,91987.0715887332,10.32,92001.55054870367,9787.187435989666,101788.73798469333
2022-06-14,0.0,6941.420166015625,91987.0715887332,10.32,92001.55054870367,9738.81247306036,101740.36302176403
2022-06-15,0.0,7042.1500244140625,91987.0715887332,10.32,92001.55054870367,9880.136464105177,101881.68701280885
2022-06-16,0.0,6736.2200927734375,91987.0715887332,10.32,92001.55054870367,9450.916770888653,101452.46731959232
2022-06-17,0.0,6734.889953613281,91987.0715887332,10.32,92001.55054870367,9449.050585650759,101450.60113435442
2022-06-20,0.0,6734.889953613281,91987.0715887332,10.32,92001.55054870367,9449.050585650759,101450.60113435442
2022-06-21,0.0,6821.000061035156,91987.0715887332,10.32,92001.55054870367,9569.863066117287,101571.41361482095
2022-06-22,0.0,6838.909957885742,91987.0715887332,10.32,92001.55054870367,9594.990651347418,101596.54120005108
2022-06-23,0.0,6845.0001220703125,91987.0715887332,10.32,92001.55054870367,9603.535151680946,101605.08570038462
2022-06-24,0.0,7069.539932250977,91987.0715887332,10.32,92001.55054870367,9918.564504722004,101920.11505342567
2022-06-27,0.0,6950.789932250977,91987.0715887332,10.32,92001.55054870367,9751.95825506175,101753.50880376542
2022-06-28,0.0,6780.650085449219,91987.0715887332,10.32,92001.55054870367,9513.252050485658,101514.80259918934
2022-06-29,0.0,6763.59001159668,91987.0715887332,10.32,92001.55054870367,9489.316766919355,101490.86731562302
2022-06-30,0.0,6662.200180053711,91987.0715887332,10.32,92001.55054870367,9347.066833554649,101348.61738225832
2022-07-01,0.0,6767.760070800781,91987.0715887332,10.32,92001.55054870367,9495.16735997078,101496.71790867444
2022-07-04,0.0,6767.760070800781,91987.0715887332,10.32,92001.55054870367,9495.16735997078,101496.71790867444
2022-07-05,0.0,6819.340057373047,91987.0715887332,10.32,92001.55054870367,9567.534080984096,101569.08462968777
2022-07-06,0.0,6776.610061645508,91987.0715887332,10.32,92001.55054870367,9507.58389710061,101509.13444580429
2022-07-07,0.0,6920.830108642578,91987.0715887332,12.77,92004.98789869667,9709.924622624883,101714.91252132154
2022-07-08,0.0,6871.139877319336,91987.0715887332,12.77,92004.98789869667,9640.20922822054,101645.1971269172
2022-07-11,0.0,6803.830001831055,91987.0715887332,12.77,92004.98789869667,9545.773473103056,101550.76137179972
