Date,AAPL,ACO-X.TO,AER,AGG,AMAT,AMSF,APO,BLBD,CEG,CG,CSH-UN.TO,DOLE,EA,GSL,HBM.TO,ISRG,L.TO,MA,MP,NSR,RSP,SPSB,SPY,TEX,TMUS,VEEV,WFG,WSC,XBB.TO,XIU.TO
2022-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.21347498853,0.0,0.0,2384.2000499628775,0.0,2213.7168924999787,0.0,,0.0,0.0,0.0,2393.969305311344,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.9522805017623,0.0,0.0,2307.3207193605776,0.0,2189.894252662016,0.0,,0.0,0.0,0.0,2372.821638480884,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.0,0.0,0.0,27181.590632044412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276.4557931972085,0.0,0.0,2156.9261692765285,0.0,2083.9198470020347,0.0,,51059.30276094114,0.0,0.0,2333.988462482055,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,0.0,0.0,0.0,27454.51366102985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.3483539564186,0.0,0.0,2199.8765685746184,0.0,2081.45221066452,0.0,,51282.68090152247,0.0,0.0,2312.4219775531856,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,0.0,0.0,0.0,27604.714463735087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.559574160594,0.0,0.0,2198.3112930624047,0.0,2088.561012449045,0.0,,50709.26488994899,0.0,0.0,2258.1773854204766,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,0.0,0.0,0.0,27577.64880252275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471.987005683506,0.0,0.0,2200.6276986909215,0.0,2053.0722150252222,0.0,,50781.74266986702,0.0,0.0,2239.8932286806867,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,0.0,0.0,0.0,27520.439487160605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2559.1745755369775,0.0,0.0,2330.5097986138426,0.0,2131.651101075695,0.0,,52057.533156400605,0.0,0.0,2302.4005812947435,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,0.0,27336.294578944828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.096351241693,0.0,0.0,2266.77888304065,0.0,2093.158626058139,0.0,,51411.351559466566,0.0,0.0,2265.8738805304747,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,0.0,0.0,0.0,27067.220748177057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2596.503371275059,0.0,0.0,2314.850264577486,0.0,2141.61706930925,0.0,,52268.499703544934,0.0,0.0,2378.460978562369,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,0.0,0.0,0.0,27087.218246873024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598.109948676487,0.0,0.0,2206.579527976486,0.0,2115.9877836230953,0.0,,50138.71257729272,0.0,0.0,2273.3644001924604,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,0.0,0.0,0.0,27317.22113069636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2634.8247987029026,0.0,0.0,2248.447437670984,0.0,2105.240195877741,0.0,,50322.5694153798,0.0,0.0,2249.370579878814,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,0.0,0.0,0.0,27262.178778157795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2636.5347930206917,0.0,0.0,2246.7119111667853,0.0,2119.6530784374772,0.0,,50070.25932830402,0.0,0.0,2189.72394144399,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,0.0,0.0,0.0,27156.21091538198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2695.626765958441,0.0,0.0,2271.413953218216,0.0,2195.588555455106,0.0,,50745.8754794643,0.0,0.0,2278.200446586916,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,0.0,0.0,0.0,27311.68499456889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748.9137070546276,0.0,0.0,2234.059822352414,0.0,2142.643139373831,0.0,,50332.42445863712,0.0,0.0,2241.378845002502,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,0.0,0.0,0.0,27500.74185987735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.0144409099885,0.0,0.0,2283.207911410529,0.0,2174.2258434660653,0.0,,51053.09147099733,0.0,0.0,2348.4718864669376,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,0.0,0.0,0.0,27474.876354338267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796.3566127537633,0.0,0.0,2290.2005107113946,0.0,2206.199367998288,0.0,,52122.460791222635,0.0,0.0,2417.1703713031784,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,0.0,0.0,0.0,27418.484051865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783.0486604009348,0.0,0.0,2341.648581770569,0.0,2247.6431919707647,0.0,,53121.328118879086,0.0,0.0,2451.644545156745,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,0.0,0.0,0.0,27312.656401595646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2772.3068739564915,0.0,0.0,2332.610475699621,0.0,2238.9679203109517,0.0,,52916.29470698898,0.0,0.0,2442.1818855502243,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.0,0.0,0.0,26993.432094560347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.770330411615,0.0,0.0,2304.6637336354615,0.0,2227.4742757355853,0.0,,52137.789384994176,0.0,0.0,2414.027476668365,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,26848.209100247317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2773.731086270651,0.0,0.0,2187.9626338089292,0.0,2219.587713233741,0.0,,51518.63619512122,0.0,0.0,2393.9061739306853,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,0.0,0.0,0.0,26938.080425618493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.7463934782427,0.0,0.0,2302.1463855466573,0.0,2261.7067478182435,0.0,,52533.27360148207,0.0,0.0,2509.479223320668,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-03,0.0,0.0,0.0,26690.821862353667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2787.6071186298504,0.0,0.0,2190.061225592508,0.0,2212.133751950896,0.0,,51521.67430079673,0.0,0.0,2475.598942052602,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,0.0,0.0,0.0,26559.15281727835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778.0895629411098,0.0,0.0,2178.9997936710133,0.0,2229.1514330403515,0.0,,51771.5788072002,0.0,0.0,2511.92899743835,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-07,0.0,0.0,0.0,26650.137987771028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.0567225189297,0.0,0.0,2233.704798073959,0.0,2252.289936252928,0.0,,52245.580286961886,0.0,0.0,2557.9038563292197,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-08,0.0,0.0,0.0,26449.451670141243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748.867391570937,0.0,0.0,2192.400605571165,0.0,2234.0989168088345,0.0,,51330.11841470117,0.0,0.0,2517.2070377220225,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-09,0.0,0.0,0.0,26453.43370085946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.8317971164943,0.0,0.0,2108.2339370888512,0.0,2154.5509636990573,0.0,,50226.48438622171,0.0,0.0,2410.307890656746,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-10,0.0,0.0,0.0,26563.79020172378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2669.6503953846986,0.0,0.0,2085.9866101422085,0.0,2091.390335888409,0.0,,49445.017074706084,0.0,0.0,2334.805202466883,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,0.0,0.0,0.0,26323.524961403273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2595.266271334476,0.0,0.0,1996.1184749171662,0.0,2012.5366459724319,0.0,,47810.63491681534,0.0,0.0,2172.2645237958295,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,0.0,0.0,0.0,26356.52105746977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2585.7852071775706,0.0,0.0,1970.6233154266374,0.0,2042.2830316907493,0.0,,47906.23738956012,0.0,0.0,2196.3153691521366,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15,0.0,0.0,0.0,26762.634192982994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2635.310437219232,0.0,0.0,2031.090896675014,0.0,2071.657602819232,0.0,,48571.83555573656,0.0,0.0,2223.1580777617546,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-16,0.0,0.0,0.0,26678.83196879094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.8233787255886,0.0,0.0,1964.069028962127,0.0,1955.0634237628583,0.0,,46594.57077990196,0.0,0.0,2013.1336446579062,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,0.0,0.0,0.0,26842.77834105913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2622.4533174625685,0.0,0.0,1990.532736489331,0.0,1979.442468417983,0.0,,46993.072606399845,0.0,0.0,1987.1682193962806,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,0.0,0.0,0.0,26939.55026685733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2631.907624115265,0.0,0.0,1997.7088821113284,0.0,1986.5786320908228,0.0,,47162.48912795045,0.0,0.0,1994.3322354691554,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-21,0.0,0.0,0.0,26793.561052495752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.9472961852734,0.0,0.0,2018.0987521364004,0.0,2026.5632279262354,0.0,,47908.097441417376,0.0,0.0,1997.7836695319384,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-22,0.0,0.0,0.0,26917.57779383543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627.9999801432714,0.0,0.0,2075.518175803125,0.0,2010.8230387617368,0.0,,47698.76822802937,0.0,0.0,1984.5082915826933,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-23,0.0,0.0,0.0,27096.41683836718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2633.0540528193815,0.0,0.0,2120.8777503967285,0.0,2019.6731093684502,0.0,,48213.04477822967,0.0,0.0,1955.7445179053902,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-24,0.0,0.0,0.0,27102.204878944438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.1500486957957,0.0,0.0,2178.4041674440523,0.0,2111.067394147194,0.0,,49870.909835036364,0.0,0.0,2077.9813224556565,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-27,0.0,0.0,0.0,26794.529849873536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551.256487435894,0.0,0.0,2145.4584790165536,0.0,2085.844064568373,0.0,,49500.209385449125,0.0,0.0,2034.9784285945207,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-28,0.0,0.0,0.0,26746.78564511687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.5678787181387,0.0,0.0,2079.5275748256245,0.0,2014.5876641472569,0.0,,48640.72369506721,0.0,0.0,1997.8272913122055,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-29,0.0,0.0,0.0,26909.288320127944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.3281885482284,0.0,0.0,2086.3528031388705,0.0,2042.4386586487344,0.0,,48358.6838313574,0.0,0.0,1945.5276330293873,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,0.0,0.0,0.0,27053.203919987573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.377766346748,0.0,0.0,2068.645717629188,0.0,1999.0207778200784,0.0,,48096.39536851846,0.0,0.0,1907.3623211467748,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,27258.3821557569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488.4360145182873,0.0,0.0,2122.615663636534,0.0,2015.0070451074134,0.0,,48647.741359820684,0.0,0.0,1944.9371966182007,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,0.0,0.0,0.0,27284.425834293143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.81355942355,0.0,0.0,2124.6436900866684,0.0,2016.932258255838,0.0,,48694.22123269978,0.0,0.0,1946.7954624108097,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-05,0.0,0.0,0.0,27274.20366710244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2526.170828407121,0.0,0.0,2126.5974271297455,0.0,2018.8901908247317,0.0,,48471.34981118015,0.0,0.0,1953.5870700786018,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-06,0.0,0.0,0.0,27464.643002602104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2552.8338137614774,0.0,0.0,2141.357055462053,0.0,2052.5955868125675,0.0,,49151.40062345096,0.0,0.0,1943.1881329785556,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-07,0.0,0.0,0.0,27400.93445084401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.3375264774077,0.0,0.0,2176.261048247805,0.0,2080.655135871202,0.0,,49862.51241670048,0.0,0.0,2041.0684367689246,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-08,0.0,0.0,0.0,27156.04904616627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.4984388910816,0.0,0.0,2165.9443162304233,0.0,2063.349259719398,0.0,,49418.443746686695,0.0,0.0,1972.9086212026723,0.0,0.0,0.0,0.0,0.0,0.0
