Metric,Value
Total Return including dividends,47.45%
Daily Average Return,0.0558%
Annualized Average Return,15.10%
Daily Variance,0.0067%
Annualized Variance,1.68%
Daily Volatility,0.8176%
Annualized Volatility,12.98%
Daily Downside Variance,0.0034%
Annualized Downside Variance,0.86%
Daily Downside Volatility,0.5829%
Annualized Downside Volatility,9.25%
Sharpe Ratio (Annualized),0.75
Sortino Ratio (Annualized),1.05
Maximum Drawdown,-5.10%
Custom Benchmark Variance (Daily),0.0036%
SPY Benchmark Variance (Daily),0.0118%
Custom Benchmark Variance (Annualized),0.91%
SPY Benchmark Variance (Annualized),2.96%
Custom Benchmark Volatility (Daily),0.6007%
SPY Benchmark Volatility (Daily),1.0845%
Custom Benchmark Volatility (Annualized),9.54%
SPY Benchmark Volatility (Annualized),17.22%
Custom Benchmark Average Return (Daily),0.0488%
SPY Benchmark Average Return (Daily),0.0723%
Custom Benchmark Average Return (Annualized),13.07%
SPY Benchmark Average Return (Annualized),19.98%
Portfolio Beta,1.2326
Portfolio Alpha against custom benchmark,0.0002%
Portfolio Alpha against SPY benchmark,-8.5102%
Portfolio Risk Premium,10.74%
Risk Adjusted Return (three month treasury rate),12.25%
Treynor Ratio (three month treasury rate),0.09
--- Portfolio Returns ---
1 Day Return,-0.24%
1 Week Return,0.16%
1 Month Return,-4.05%
Year-to-Date Return,0.18%
1 Year Return,18.86%
Inception,47.45%
