Date,Total_Portfolio_Value,pct_change
2022-05-02,101644.990000,
2022-05-03,101644.990000,0.000000
2022-05-04,101644.990000,0.000000
2022-05-05,98581.586906,-0.030138
2022-05-06,98389.386505,-0.001950
2022-05-09,93374.618132,-0.050969
2022-05-10,93896.625472,0.005590
2022-05-11,93610.678126,-0.003045
2022-05-12,93607.010125,-0.000039
2022-05-13,95184.007811,0.016847
2022-05-16,94241.697694,-0.009900
2022-05-17,95049.788340,0.008575
2022-05-18,92702.180853,-0.024699
2022-05-19,93159.742985,0.004936
2022-05-20,92806.889717,-0.003788
2022-05-23,93625.127220,0.008817
2022-05-24,93293.152250,-0.003546
2022-05-25,94412.236786,0.011995
2022-05-26,95590.036122,0.012475
2022-05-27,96646.728996,0.011054
2022-05-30,96297.916364,-0.003609
2022-05-31,95119.953995,-0.012232
2022-06-01,94277.883182,-0.008853
2022-06-02,95699.760937,0.015082
2022-06-03,94223.258790,-0.015428
2022-06-06,94374.407739,0.001604
2022-06-07,95082.198431,0.007500
2022-06-08,93821.515636,-0.013259
2022-06-09,92386.767177,-0.015292
2022-06-10,91539.223813,-0.009174
2022-06-13,89258.272349,-0.024918
2022-06-14,89405.787498,0.001653
2022-06-15,90643.794230,0.013847
2022-06-16,88147.701677,-0.027537
2022-06-17,88762.543929,0.006975
2022-06-20,89059.687534,0.003348
2022-06-21,90021.852031,0.010804
2022-06-22,89926.932918,-0.001054
2022-06-23,90650.431116,0.008045
2022-06-24,92615.849833,0.021681
2022-06-27,91724.242215,-0.009627
2022-06-28,90581.847125,-0.012455
2022-06-29,90444.200547,-0.001520
2022-06-30,90204.419863,-0.002651
2022-07-01,91142.792728,0.010403
2022-07-04,91223.511639,0.000886
2022-07-05,91036.488947,-0.002050
2022-07-06,91971.674606,0.010273
2022-07-07,92809.048496,0.009105
2022-07-08,92011.199202,-0.008597
2022-07-11,91472.398472,-0.005856
2022-07-12,91548.098733,0.000828
2022-07-13,91617.207460,0.000755
2022-07-14,90962.132712,-0.007150
2022-07-15,92876.054528,0.021041
2022-07-18,91878.310968,-0.010743
2022-07-19,93384.798997,0.016397
2022-07-20,93062.085613,-0.003456
2022-07-21,93927.435338,0.009299
2022-07-22,93628.311371,-0.003185
2022-07-25,94097.678586,0.005013
2022-07-26,93153.519950,-0.010034
2022-07-27,94532.841361,0.014807
2022-07-28,95346.590130,0.008608
2022-07-29,95751.467889,0.004246
2022-08-01,95819.158457,0.000707
2022-08-02,95338.827914,-0.005013
2022-08-03,96586.586840,0.013088
2022-08-04,96341.295738,-0.002540
2022-08-05,96150.897564,-0.001976
2022-08-08,96965.632291,0.008474
2022-08-09,95777.110671,-0.012257
2022-08-10,97446.017948,0.017425
2022-08-11,96736.191318,-0.007284
2022-08-12,97746.225439,0.010441
2022-08-15,98056.286029,0.003172
2022-08-16,99113.894797,0.010786
2022-08-17,97814.426006,-0.013111
2022-08-18,98580.537753,0.007832
2022-08-19,97744.249373,-0.008483
2022-08-22,96651.894904,-0.011176
2022-08-23,96778.824180,0.001313
2022-08-24,96327.559821,-0.004663
2022-08-25,97551.211822,0.012703
2022-08-26,95294.095283,-0.023138
2022-08-29,95582.060963,0.003022
2022-08-30,94539.863833,-0.010904
2022-08-31,94537.304589,-0.000027
2022-09-01,94893.773940,0.003771
2022-09-02,94504.333429,-0.004104
2022-09-06,93993.300789,-0.005408
2022-09-07,95674.310807,0.017884
2022-09-08,95973.834038,0.003131
2022-09-09,96603.965286,0.006566
2022-09-12,96747.922964,0.001490
2022-09-13,93783.949423,-0.030636
2022-09-14,95025.371672,0.013237
2022-09-15,94369.421869,-0.006903
2022-09-16,94251.960441,-0.001245
2022-09-19,94944.318195,0.007346
2022-09-20,93760.574336,-0.012468
2022-09-21,93534.873949,-0.002407
2022-09-22,93133.993485,-0.004286
2022-09-23,91988.958780,-0.012294
2022-09-26,91511.021595,-0.005196
2022-09-27,92006.244485,0.005412
2022-09-28,93893.830931,0.020516
2022-09-29,92093.284629,-0.019176
2022-09-30,91705.180262,-0.004214
2022-10-03,94352.177890,0.028864
2022-10-04,95525.087973,0.012431
