Date,Total_Portfolio_Value,pct_change
2022-05-02,101644.990000,
2022-05-03,101644.990000,0.000000
2022-05-04,101644.990000,0.000000
2022-05-05,98564.866532,-0.030303
2022-05-06,98372.884661,-0.001948
2022-05-09,92934.033123,-0.055288
2022-05-10,93453.240535,0.005587
2022-05-11,93169.019940,-0.003041
2022-05-12,93165.302570,-0.000040
2022-05-13,94736.088687,0.016860
2022-05-16,93798.266119,-0.009899
2022-05-17,94603.488182,0.008585
2022-05-18,92266.406065,-0.024704
2022-05-19,92721.637693,0.004934
2022-05-20,92370.578238,-0.003786
2022-05-23,93185.729715,0.008825
2022-05-24,92854.853829,-0.003551
2022-05-25,93968.732232,0.011996
2022-05-26,95141.208512,0.012477
2022-05-27,96193.272294,0.011058
2022-05-30,95846.209878,-0.003608
2022-05-31,94674.264318,-0.012227
2022-06-01,93836.197927,-0.008852
2022-06-02,95251.998680,0.015088
2022-06-03,93782.261294,-0.015430
2022-06-06,93932.916090,0.001606
2022-06-07,94637.594705,0.007502
2022-06-08,93382.864403,-0.013258
2022-06-09,91954.013544,-0.015301
2022-06-10,91109.933844,-0.009179
2022-06-13,88839.269891,-0.024922
2022-06-14,88985.983576,0.001651
2022-06-15,90217.895013,0.013844
2022-06-16,87732.939458,-0.027544
2022-06-17,88344.824598,0.006974
2022-06-20,88640.462267,0.003346
2022-06-21,89599.922380,0.010824
2022-06-22,89505.299147,-0.001056
2022-06-23,90225.247540,0.008044
2022-06-24,92182.007850,0.021688
2022-06-27,91294.571012,-0.009627
2022-06-28,90156.939951,-0.012461
2022-06-29,90019.756490,-0.001522
2022-06-30,89780.526752,-0.002658
2022-07-01,90714.709134,0.010405
2022-07-04,90795.019039,0.000885
2022-07-05,90609.058742,-0.002048
2022-07-06,91539.676351,0.010271
2022-07-07,92373.567300,0.009110
2022-07-08,91579.798589,-0.008593
2022-07-11,91043.099504,-0.005860
2022-07-12,91117.965235,0.000822
2022-07-13,91186.499084,0.000752
2022-07-14,90534.955441,-0.007145
2022-07-15,92439.922405,0.021041
2022-07-18,91447.046010,-0.010741
2022-07-19,92947.351241,0.016406
2022-07-20,92626.746313,-0.003449
2022-07-21,93488.082053,0.009299
2022-07-22,93189.285617,-0.003196
2022-07-25,93656.923390,0.005018
2022-07-26,92717.266863,-0.010033
2022-07-27,94090.359951,0.014809
2022-07-28,94900.505462,0.008610
2022-07-29,95303.353498,0.004245
2022-08-01,95370.654285,0.000706
2022-08-02,94893.378354,-0.005004
2022-08-03,96135.510836,0.013090
2022-08-04,95891.386658,-0.002539
2022-08-05,95702.294476,-0.001972
2022-08-08,96512.567112,0.008467
2022-08-09,95329.419688,-0.012259
2022-08-10,96990.777124,0.017428
2022-08-11,96284.613591,-0.007281
2022-08-12,97289.930632,0.010441
2022-08-15,97598.545288,0.003172
2022-08-16,98651.000602,0.010784
2022-08-17,97357.654158,-0.013110
2022-08-18,98119.872993,0.007829
2022-08-19,97287.451131,-0.008484
2022-08-22,96199.748436,-0.011180
2022-08-23,96325.736159,0.001310
2022-08-24,95876.995129,-0.004659
2022-08-25,97094.998827,0.012704
2022-08-26,94848.126325,-0.023141
2022-08-29,95134.377932,0.003018
2022-08-30,94096.846596,-0.010906
2022-08-31,94094.296535,-0.000027
2022-09-01,94449.595666,0.003776
2022-09-02,94061.489227,-0.004109
2022-09-06,93553.322526,-0.005402
2022-09-07,95226.539835,0.017885
2022-09-08,95525.176360,0.003136
2022-09-09,96153.017195,0.006573
2022-09-12,96296.692715,0.001494
2022-09-13,93346.131859,-0.030640
2022-09-14,94581.164176,0.013231
2022-09-15,93928.075279,-0.006905
2022-09-16,93810.626801,-0.001250
2022-09-19,94500.793402,0.007357
2022-09-20,93322.602861,-0.012468
2022-09-21,93096.908327,-0.002418
2022-09-22,92697.930641,-0.004286
2022-09-23,91558.212022,-0.012295
2022-09-26,91082.722120,-0.005193
2022-09-27,91575.423060,0.005409
2022-09-28,93453.831993,0.020512
2022-09-29,91662.009695,-0.019173
2022-09-30,91275.523533,-0.004216
2022-10-03,93910.370579,0.028867
2022-10-04,95078.817746,0.012442
