Date,Total_Portfolio_Value,pct_change
2022-05-02,101644.99,
2022-05-03,101644.99,0.00
2022-05-04,101644.99,0.00
2022-05-05,98585.05,-0.03
2022-05-06,98392.75,-0.00
2022-05-09,93463.04,-0.05
2022-05-10,93985.90,0.01
2022-05-11,93700.70,-0.00
2022-05-12,93696.93,-0.00
2022-05-13,95273.88,0.02
2022-05-16,94331.04,-0.01
2022-05-17,95138.31,0.01
2022-05-18,92790.75,-0.02
2022-05-19,93249.11,0.00
2022-05-20,92896.09,-0.00
2022-05-23,93714.06,0.01
2022-05-24,93382.64,-0.00
2022-05-25,94502.35,0.01
2022-05-26,95680.13,0.01
2022-05-27,96736.60,0.01
2022-05-30,96387.44,-0.00
2022-05-31,95208.48,-0.01
2022-06-01,94312.83,-0.01
2022-06-02,95735.07,0.02
2022-06-03,94248.59,-0.02
2022-06-06,94399.31,0.00
2022-06-07,95103.59,0.01
2022-06-08,93842.20,-0.01
2022-06-09,92407.38,-0.02
2022-06-10,91560.16,-0.01
2022-06-13,89278.35,-0.02
2022-06-14,89425.96,0.00
2022-06-15,90665.30,0.01
2022-06-16,88168.89,-0.03
2022-06-17,88784.28,0.01
2022-06-20,89081.74,0.00
2022-06-21,89778.85,0.01
2022-06-22,89684.27,-0.00
2022-06-23,90408.31,0.01
2022-06-24,92373.81,0.02
2022-06-27,91481.08,-0.01
2022-06-28,90338.42,-0.01
2022-06-29,90201.30,-0.00
2022-06-30,89961.94,-0.00
2022-07-01,90846.88,0.01
2022-07-04,90927.68,0.00
2022-07-05,90740.68,-0.00
2022-07-06,91676.48,0.01
2022-07-07,92510.49,0.01
2022-07-08,91711.86,-0.01
2022-07-11,91173.28,-0.01
2022-07-12,91249.38,0.00
2022-07-13,91319.04,0.00
2022-07-14,90663.47,-0.01
2022-07-15,92578.49,0.02
2022-07-18,91579.79,-0.01
2022-07-19,93086.07,0.02
2022-07-20,92762.56,-0.00
2022-07-21,93628.77,0.01
2022-07-22,93330.30,-0.00
2022-07-25,93799.66,0.01
2022-07-26,92854.98,-0.01
2022-07-27,94234.82,0.01
2022-07-28,95048.82,0.01
2022-07-29,95453.57,0.00
2022-08-01,95463.68,0.00
2022-08-02,94982.61,-0.01
2022-08-03,96231.18,0.01
2022-08-04,95985.85,-0.00
2022-08-05,95794.58,-0.00
2022-08-08,96610.19,0.01
2022-08-09,95420.82,-0.01
2022-08-10,97090.20,0.02
2022-08-11,96369.78,-0.01
2022-08-12,97380.17,0.01
2022-08-15,97690.46,0.00
2022-08-16,98748.92,0.01
2022-08-17,97448.48,-0.01
2022-08-18,98215.24,0.01
2022-08-19,97378.52,-0.01
2022-08-22,96286.07,-0.01
2022-08-23,96413.26,0.00
2022-08-24,95961.13,-0.00
2022-08-25,97185.39,0.01
2022-08-26,94928.01,-0.02
2022-08-29,95216.34,0.00
2022-08-30,94169.82,-0.01
2022-08-31,94167.40,-0.00
2022-09-01,94463.28,0.00
2022-09-02,94074.07,-0.00
2022-09-06,93562.11,-0.01
2022-09-07,95243.88,0.02
2022-09-08,95543.02,0.00
2022-09-09,96172.87,0.01
2022-09-12,96316.37,0.00
2022-09-13,93351.53,-0.03
2022-09-14,94594.27,0.01
2022-09-15,93937.97,-0.01
2022-09-16,93820.94,-0.00
2022-09-19,94271.07,0.00
2022-09-20,93086.78,-0.01
2022-09-21,92862.04,-0.00
2022-09-22,92461.01,-0.00
2022-09-23,91315.61,-0.01
2022-09-26,90837.26,-0.01
2022-09-27,91332.99,0.01
2022-09-28,93222.13,0.02
2022-09-29,91420.48,-0.02
2022-09-30,91032.42,-0.00
2022-10-03,93615.23,0.03
2022-10-04,94787.43,0.01
2022-10-05,93630.34,-0.01
2022-10-06,93456.20,-0.00
2022-10-07,92817.04,-0.01
2022-10-10,92218.21,-0.01
2022-10-11,92205.03,-0.00
2022-10-12,92062.74,-0.00
2022-10-13,93581.34,0.02
2022-10-14,91741.58,-0.02
2022-10-17,93685.05,0.02
2022-10-18,93798.98,0.00
2022-10-19,93164.53,-0.01
2022-10-20,92657.82,-0.01
2022-10-21,94156.51,0.02
2022-10-24,93889.19,-0.00
2022-10-25,95782.45,0.02
2022-10-26,95628.66,-0.00
2022-10-27,95482.40,-0.00
2022-10-28,96809.19,0.01
2022-10-31,96902.01,0.00
2022-11-01,97175.21,0.00
2022-11-02,95564.52,-0.02
2022-11-03,95759.25,0.00
2022-11-04,97142.99,0.01
2022-11-07,96105.26,-0.01
2022-11-08,96312.48,0.00
2022-11-09,94672.94,-0.02
2022-11-10,99325.44,0.05
2022-11-11,98729.87,-0.01
2022-11-14,97398.96,-0.01
2022-11-15,98685.63,0.01
2022-11-16,97824.23,-0.01
2022-11-17,97797.78,-0.00
2022-11-18,98154.73,0.00
2022-11-21,98412.74,0.00
2022-11-22,99871.74,0.01
2022-11-23,99763.46,-0.00
2022-11-24,99631.23,-0.00
2022-11-25,99804.55,0.00
2022-11-28,99089.67,-0.01
2022-11-29,99675.89,0.01
2022-11-30,102242.98,0.03
2022-12-01,101384.33,-0.01
2022-12-02,101672.89,0.00
2022-12-05,100252.41,-0.01
2022-12-06,100534.24,0.00
2022-12-07,101134.53,0.01
2022-12-08,101479.70,0.00
2022-12-09,100373.15,-0.01
2022-12-12,101733.70,0.01
2022-12-13,102180.57,0.00
2022-12-14,101339.04,-0.01
2022-12-15,99702.38,-0.02
2022-12-16,99701.94,-0.00
2022-12-19,99280.34,-0.00
2022-12-20,98875.26,-0.00
2022-12-21,99635.78,0.01
2022-12-22,98970.23,-0.01
2022-12-23,99424.77,0.00
2022-12-27,98723.61,-0.01
2022-12-28,97551.51,-0.01
2022-12-29,99326.52,0.02
2022-12-30,98597.02,-0.01
2023-01-03,98711.51,0.00
2023-01-04,100697.43,0.02
2023-01-05,98732.07,-0.02
2023-01-06,101052.36,0.02
2023-01-09,100287.25,-0.01
2023-01-10,100476.72,0.00
2023-01-11,101654.67,0.01
2023-01-12,102022.22,0.00
2023-01-13,101733.36,-0.00
2023-01-16,101877.52,0.00
2023-01-17,101627.61,-0.00
2023-01-18,100917.83,-0.01
2023-01-19,100845.02,-0.00
2023-01-20,101712.39,0.01
2023-01-23,101787.54,0.00
2023-01-24,101901.88,0.00
2023-01-25,101916.23,0.00
2023-01-26,102511.78,0.01
2023-01-27,102100.28,-0.00
2023-01-30,101269.01,-0.01
2023-01-31,102980.81,0.02
2023-02-01,103078.60,0.00
2023-02-02,103659.44,0.01
2023-02-03,102888.49,-0.01
2023-02-06,102777.72,-0.00
2023-02-07,103672.80,0.01
2023-02-08,102608.59,-0.01
2023-02-09,102300.37,-0.00
2023-02-10,102576.15,0.00
2023-02-13,102924.68,0.00
2023-02-14,102411.21,-0.00
2023-02-15,102707.20,0.00
2023-02-16,102165.96,-0.01
2023-02-17,102747.40,0.01
2023-02-21,100936.15,-0.02
2023-02-22,101496.44,0.01
2023-02-23,102011.29,0.01
2023-02-24,101332.21,-0.01
2023-02-27,101810.94,0.00
2023-02-28,101594.24,-0.00
2023-03-01,101842.76,0.00
2023-03-02,101899.87,0.00
2023-03-03,103098.00,0.01
2023-03-06,102781.36,-0.00
2023-03-07,101744.27,-0.01
2023-03-08,102818.74,0.01
2023-03-09,101807.49,-0.01
2023-03-10,100729.22,-0.01
2023-03-13,99710.00,-0.01
2023-03-14,100396.58,0.01
2023-03-15,99319.77,-0.01
2023-03-16,100486.77,0.01
2023-03-17,99089.90,-0.01
2023-03-20,99760.60,0.01
2023-03-21,100428.02,0.01
2023-03-22,99473.66,-0.01
2023-03-23,99481.26,0.00
2023-03-24,100116.74,0.01
2023-03-27,100227.37,0.00
2023-03-28,99769.64,-0.00
2023-03-29,100286.71,0.01
2023-03-30,100405.18,0.00
2023-03-31,101234.36,0.01
2023-04-03,101233.04,-0.00
2023-04-04,100121.98,-0.01
2023-04-05,100102.21,-0.00
2023-04-06,100137.98,0.00
2023-04-10,100681.58,0.01
2023-04-11,101157.29,0.00
2023-04-12,100731.56,-0.00
2023-04-13,101108.98,0.00
2023-04-14,100056.15,-0.01
2023-04-17,100571.28,0.01
2023-04-18,100837.17,0.00
2023-04-19,101073.49,0.00
2023-04-20,101426.82,0.00
2023-04-21,101514.32,0.00
2023-04-24,102227.12,0.01
2023-04-25,101190.50,-0.01
2023-04-26,100970.75,-0.00
2023-04-27,105715.91,0.05
2023-04-28,106379.89,0.01
2023-05-01,105932.02,-0.00
2023-05-02,105803.66,-0.00
2023-05-03,106073.79,0.00
2023-05-04,105400.48,-0.01
2023-05-05,105903.16,0.00
2023-05-08,105208.27,-0.01
2023-05-09,105024.78,-0.00
2023-05-10,105266.04,0.00
2023-05-11,105183.49,-0.00
2023-05-12,105545.76,0.00
2023-05-15,105999.68,0.00
2023-05-16,104751.70,-0.01
2023-05-17,105344.46,0.01
2023-05-18,105475.84,0.00
2023-05-19,105679.51,0.00
2023-05-22,105739.86,0.00
2023-05-23,104831.37,-0.01
2023-05-24,104213.09,-0.01
2023-05-25,104570.43,0.00
2023-05-26,105472.66,0.01
2023-05-29,105343.29,-0.00
2023-05-30,105322.12,-0.00
2023-05-31,105081.07,-0.00
2023-06-01,105735.30,0.01
2023-06-02,106102.02,0.00
2023-06-05,105796.68,-0.00
2023-06-06,106426.97,0.01
2023-06-07,105751.79,-0.01
2023-06-08,106007.09,0.00
2023-06-09,105956.03,-0.00
2023-06-12,106316.30,0.00
2023-06-13,106698.16,0.00
2023-06-14,106771.05,0.00
2023-06-15,107563.24,0.01
2023-06-16,106878.86,-0.01
2023-06-19,106689.12,-0.00
2023-06-20,106332.70,-0.00
2023-06-21,106084.19,-0.00
2023-06-22,105473.93,-0.01
2023-06-23,105168.20,-0.00
2023-06-26,105522.76,0.00
2023-06-27,106163.76,0.01
2023-06-28,106654.18,0.00
2023-06-29,106969.12,0.00
2023-06-30,107881.00,0.01
2023-07-03,107937.89,0.00
2023-07-04,107912.40,-0.00
2023-07-05,107185.29,-0.01
2023-07-06,106578.74,-0.01
2023-07-07,106966.41,0.00
2023-07-10,106942.91,-0.00
2023-07-11,107483.12,0.01
2023-07-12,108232.84,0.01
2023-07-13,108791.03,0.01
2023-07-14,108354.94,-0.00
2023-07-17,108987.90,0.01
2023-07-18,109424.97,0.00
2023-07-19,109248.68,-0.00
